,text
827,Today affix settings are not dynamic since it's required to know\r\nit's namespace in order to pull a concrete setting from it. This is not possible\r\nin practice since the namespaces are dynamic by design. This change allows to register\r\na specialized settings consumer that consumes the namespace and the actual value if\r\na setting gets updated.\r\n Allow affix settings to be dynamic / updatable >>> 1
828,"Previously, we removed all unneeded backward compatibility logic\r\nfrom the BlobStoreRepository because 6.0 does not need to support\r\n2.x snapshot formats.  During the process of removing this backward\r\ncompatibility logic, some code was leftover that is no longer\r\nnecessary.  This commit removes all the remaining unnecessary\r\nbackwards compatibility code in BlobStoreRepository. Removes remaining snapshot backwards compatibility logic >>> 1"
829,Moves fetching the local node id into `NodeClient` which is a\r\nfairly useful place to put it so you can generate task ids from\r\n`NodeClient#executeLocally`.\r\n Remove ClusterService from ctors in reindex >>> 1
830,Adds a message about how the remote is unlikely to be Elasticsearch.\r\nThis isn't as good as including the whole message from the remote but\r\nwe can't do that because we are stream parsing it and we don't want\r\nto mark the whole request.\r\n\r\nCloses #22330\r\n Improve error message when reindex-from-remote gets bad json >>> 1
831,"Translog.Delete used `.writeVLong` instead of `.writeLong` for the sequence\r\nnumber and primary term (and their respective ""read"" variants). This could lead\r\nto issues where a 5.x node sent a translog operation with a negative sequence\r\nnumber (-2 for unassigned seq no) that tripped an assertion serializing a\r\nnegative number and causing ES to exit.\r\n\r\nAdds a unit test for serialization and a mixed-cluster REST test, since that was\r\nhow this was originally caught. Fix Translog.Delete serialization for sequence numbers >>> 1"
832,It is empty now that we've moved all the parsing into `namedObject`.\r\n\r\n Remove SearchRequestParsers >>> 1
833,\r\n Make it clear that bulk API actions are processed sequentially on each shard rather than sequentially overall >>> 1
834,"This is related to #22116. A number of plugins (discovery-azure-classic, discovery-ec2, discovery-gce, repository-azure, repository-gcs, and repository-s3) open socket connections. As `SocketPermissions` are transitioned out of core, these plugins will require `connect` permission. This pull request wraps operations that require these permissions in `doPrivileged` blocks. Add doPrivilege blocks for socket connect operations in plugins >>> 1"
835,The low level TCP handshake can cause channel / connection leaks if it's interrupted\r\nsince the caller doesn't close the channel / connection if the handshake was not successful.\r\nThis commit fixes the channel leak and adds general test infrastructure to detect channel leaks\r\nin the future. Prevent open channel leaks if handshake times out or is interrupted >>> 1
836,The config template that ships with Elasticsearch distributions contains\r\nlinks to various pieces of documentation. Links go out of date and get\r\nbroken. This commit removes such links from the config template.\r\n\r\nCloses #22545\r\n Remove doc links from config template >>> 1
837,"Add support for graph token streams to ""query_string"" and\r\n""simple_query_string"" queries. QueryString and SimpleQueryString Graph Support >>> 1"
838,This function introduced in #20838 wasn't documented at all.\r\n\r\nRelated to #22459 [DOC] Document {{url}} mustache function >>> 1
839,"Considering this a bug as it probably should have been higher to support updates in the first place, but still provides some infinite loop protection.  Updated to 1000000 from 10000.\r\n\r\nThis counter applies on a loose basis to statements (not operations) within a loop in Painless.  It is cumulative on a per function basis including the main function.  Calls external to Painless functions count as one statement.  This will hopefully become smarter in the future.\r\n\r\nRelates: (#22508) Update Painless Loop Counter to be Higher >>> 1"
840,"The constructors were left behind when filter_path was introduced, now we always provide includes and excludes hence we can remove the constructors that don't take those two arguments. Remove unused *XContentGenerator constructors >>> 1"
841,"There are some parameters that are accepted by each and every api we expose. Those (pretty, source, error_trace and filter_path)  are not explicitly listed in the spec of every api, rather whitelisted in clients test runners so that they are always accepted. The `human` flag has been treated up until now as a parameter that's accepted by only some stats and info api, but that doesn't reflect reality as es core treats it exactly like `pretty` (relevant especially now that we validate params and throw exception when we find one that is not supported). Furthermore, the human flag has effect on every api that outputs a date, time, percentage or byte size field. For instance the tasks api outputs a date field although they don't have the human flag explicitly listed in their spec. There are other similar cases. This commit removes the human flag from the rest spec and makes it an always accepted query_string param. Human flag to be moved under always accepted query_string params >>> 1"
842,"When trying to write parsing code for the SearchResponse `profile` section I ran into problems getting back the original time information, because both `ProfileResult` and `CollectorResult` currently print their time parameter in a human readable string format (e.g. `""time"": ""55.20315000ms""`). When trying to parse this back to a long value, for example to use in the planned high level java rest client, we can lose precision because of conversion and rounding issues. I was wondering if we should introduce an additional field (e.g. `time_in_nanos`) to be able to get the raw value back and only print the `time` field for human consumption if requested with the `human=true` flag.\r\nAnother question would be if we can backport this in some way to 5.x, I'm not sure if the fact that the profile API is experimental means we can introduce additional fields in the response in 5.x. This PR is only a basis for discussion, maybe @polyfractal or @clintongormley have an opinion on this. ProfileResult and CollectorResult should print machine readable timing information >>> 1"
843,"Today when you do not specify a port for an entry in\r\ndiscovery.zen.ping.unicast.hosts, the default port is the value of the\r\nsetting transport.profiles.default.port and falls back to the value of\r\ntransport.tcp.port if this is not set. For a node that is explicitly\r\nbound to a different port than the default port, this means that the\r\ndefault port will be equal to this explicitly bound port. Yet, the docs\r\nsay that we fall back to 9300 here. This commit corrects the docs.\r\n\r\n Fix default port for unicast zen ping hosts >>> 1"
844,Closes #11638\r\n Include global query string parameters in the REST spec >>> 1
845,There are presently 7 ctor args used in any rest handlers:\r\n* `Settings`: Every handler uses it to initialize a logger and\r\n  some other strange things.\r\n* `RestController`: Every handler registers itself with it.\r\n* `ClusterSettings`: Used by `RestClusterGetSettingsAction` to\r\n  render the default values for cluster settings.\r\n* `IndexScopedSettings`: Used by `RestGetSettingsAction` to get\r\n  the default values for index settings.\r\n* `SettingsFilter`: Used by a few handlers to filter returned\r\n  settings so we don't expose stuff like passwords.\r\n* `IndexNameExpressionResolver`: Used by `_cat/indices` to\r\n  filter the list of indices.\r\n* `Supplier<DiscoveryNodes>`: Used to fill enrich the response\r\n  by handlers that list tasks.\r\n\r\nWe probably want to reduce these arguments over time but\r\nswitching construction away from guice gives us tighter\r\ncontrol over the list of available arguments.\r\n\r\nThese parameters are passed to plugins using\r\n`ActionPlugin#initRestHandlers` which is expected to build and\r\nreturn that handlers immediately. This felt simpler than\r\nreturning an reference to the ctors given all the different\r\npossible args.\r\n\r\nBreaks java plugins by moving rest handlers off of guice. Deguice rest handlers >>> 1
846,Remove some more ParseFieldMatcher usages\r\n\r\nRelates to #19552\r\nRelates to #22130 \r\n Remove some more ParseFieldMatcher usages >>> 1
847,"With the recent addition of `synonym_graph` token filter, [LUCENE-7619](https://issues.apache.org/jira/browse/LUCENE-7619) almost ready, and all the related query support for graph token streams I think it is important that the analyze api show when a token has a non-default position length (anything > 1).  \r\n\r\nThis PR adds support to the analyze api for showing the position length only when a token has a non-default value without requiring to go into the `explain` mode.  When in explain mode, the position length attribute will still be output even when it has a default value. Analyze API Position Length Support >>> 1"
